mesa_id,i
0100200588X,24737
0100200589X,24738
0100200590X,24739
0100200591X,24740
0100200592X,24741
0100200593X,24742
0100200594X,24743
0100200595X,24744
0100200596X,24745
0100200597X,24746
0100200598X,24747
0100200599X,24748
0100200600X,24749
0100200601X,24750
0100200602X,24751
0100200603X,24752
0100200604X,24753
0100200605X,24754
0100200606X,24755
0100200607X,24756
0100200608X,24757
0100200609X,24758
0100200610X,24759
0100200611X,24760
0100200612X,24761
0100200613X,24762
0100200614X,24763
0100200615X,24764
0100200616X,24765
0100200617X,24766
0100200618X,24767
0100200619X,24768
0100200620X,24769
0100200621X,24770
0100200622X,24771
0100200623X,24772
0100200624X,24773
0100200625X,24774
0100200626X,24775
0100200627X,24776
0100200628X,24777
0100200629X,24778
0100200630X,24779
0100200631X,24780
0100200632X,24781
0100200633X,24782
0100200634X,24783
0100200635X,24784
0100200636X,24785
0100200637X,24786
0100200638X,24787
0100200639X,24788
0100200640X,24789
0100200641X,24790
0100200642X,24791
0100200643X,24792
0100200644X,24793
0100200645X,24794
0100200646X,24795
0100200647X,24796
0100200648X,24797
0100200649X,24798
0100200650X,24799
0100200651X,24800
0100200652X,24801
0100200653X,24802
0100200654X,24803
0100200655X,24804
0100200656X,24805
0100200657X,24806
0100200658X,24807
0100200659X,24808
0100200660X,24809
0100200661X,24810
0100200662X,24811
0100200663X,24812
0100200664X,24813
0100200665X,24814
0100200666X,24815
0100200667X,24816
0100200668X,24817
0100200669X,24818
0100200670X,24819
0100200671X,24820
0100200672X,24821
0100200673X,24822
0100200674X,24823
0100200675X,24824
0100200676X,24825
0100200677X,24826
0100200678X,24827
0100200679X,24828
0100200680X,24829
0100200681X,24830
0100200682X,24831
0100200683X,24832
0100200684X,24833
0100200685X,24834
0100200686X,24835
0100200687X,24836
0100200688X,24837
0100200689X,24838
0100200690X,24839
0100200691X,24840
0100200692X,24841
0100200693X,24842
0100200694X,24843
0100200695X,24844
0100200696X,24845
0100200697X,24846
0100200698X,24847
0100200699X,24848
0100200700X,24849
0100200701X,24850
0100200702X,24851
0100200703X,24852
0100200704X,24853
0100200705X,24854
0100200706X,24855
0100200707X,24856
0100200708X,24857
0100200709X,24858
0100200710X,24859
0100200711X,24860
0100200712X,24861
0100200713X,24862
0100200714X,24863
0100200715X,24864
0100200716X,24865
0100200717X,24866
0100200718X,24867
0100200719X,24868
0100200720X,24869
0100200721X,24870
0100200722X,24871
0100200723X,24872
0100200724X,24873
0100200725X,24874
0100200726X,24875
0100200727X,24876
